,xpath,label-key,comment,guidance,index
0,/@LG,,,"Lowercase, and map to `language`",
1,/@CATEGORY,,,Discard. TED translates at form-level. OCDS translates at field-level.,
2,/LEGAL_BASIS,,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/tender_LegalBasis,"Set `tender.legalBasis.scheme` to ['CELEX'](https://eur-lex.europa.eu/content/help/faq/intro.html#help8), and map to `tender.legalBasis.id`",
3,/LEGAL_BASIS_OTHER,,,"Set `tender.legalBasis.scheme` to 'CELEX', and map to `tender.legalBasis.id`",
4,/CONTRACTING_BODY,ca_ce,,,I
5,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY,name_address_contact,,"[Add a party](../../operations/#add-a-party), and add 'buyer' to its `.roles`\n\nSet `buyer.id` to its `.id`, and set `buyer.name` to its [`.name`](#/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME)",I.1
6,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME,name_official,,Map to the party's `.name` and `.identifier.legalName`,
7,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/NATIONALID,national_id,,"Map to the party's `.identifier.id`, and [set `.identifier.scheme`](https://standard.open-contracting.org/1.1/en/schema/identifiers/#organization-ids)",
8,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/ADDRESS,address_postal,,Map to the party's `.address.streetAddress`,
9,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/TOWN,address_town,,Map to the party's `.address.locality`,
10,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/NUTS,nutscode,https://github.com/open-contracting-archive/trade/blob/master/draft_extensions/parties_details_NUTS,"Take the NUTS code in the `CODE` attribute, and map to the party's `.address.region`\n\nThere's an open issue ([#739](https://github.com/open-contracting/standard/issues/739)) about region codes. (ISSUE)",
11,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/POSTAL_CODE,address_postcode,,Map to the party's `.address.postalCode`,
12,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/COUNTRY,address_country,,"Take the country code in the `VALUE` attribute, translate to a country name, and map to the party's `.address.countryName`\n\nThere's an open issue ([#524](https://github.com/open-contracting/standard/issues/524)) to add a `.countryCode` field to the `Address` object, to avoid translation. (ISSUE)",
13,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/CONTACT_POINT,contactpoint,,Map to the party's `.contactPoint.name`,
14,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/PHONE,address_phone,,Map to the party's `.contactPoint.telephone`,
15,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/E_MAIL,address_email,,Map to the party's `.contactPoint.email`,
16,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/FAX,address_fax,,Map to the party's `.contactPoint.faxNumber`,
17,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/URL_GENERAL,url_general,,Map to the party's `.details.url`,
18,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/URL_BUYER,url_buyerprofile,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/organization_BuyerProfile,Map to the party's `.details.buyerProfile`,
19,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL,,,"[Add a party](../../operations/#add-a-party), add 'buyer' to its `.roles`, and set its [fields as above](#/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME)",
20,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/OFFICIALNAME,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME,
21,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/NATIONALID,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/NATIONALID,
22,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/ADDRESS,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/ADDRESS,
23,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/TOWN,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/TOWN,
24,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/POSTAL_CODE,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/POSTAL_CODE,
25,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/COUNTRY,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/COUNTRY,
26,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/CONTACT_POINT,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/CONTACT_POINT,
27,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/PHONE,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/PHONE,
28,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/E_MAIL,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/E_MAIL,
29,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/FAX,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/FAX,
30,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/NUTS,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/NUTS,
31,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/URL_GENERAL,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/URL_GENERAL,
32,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/URL_BUYER,,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/URL_BUYER,
33,/OBJECT_CONTRACT,object,,,II
34,/OBJECT_CONTRACT/TITLE,title_contract,,Map to `tender.title`,II.1.1
35,/OBJECT_CONTRACT/REFERENCE_NUMBER,fileref,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/release_BuyerInternalReferenceID,"If not set, let *Reference number* be equal to the `ocid` value. Map to `tender.id` (string).",
36,/OBJECT_CONTRACT/CPV_MAIN,,https://github.com/open-contracting-archive/trade/blob/master/draft_extensions/tender_Classification,,II.1.2
37,/OBJECT_CONTRACT/CPV_MAIN/CPV_CODE,cpv_main,,"Set `tender.classification.scheme` to 'CPV', take the CPV code in the `CODE` attribute, and map to `tender.classification.id`",
38,/OBJECT_CONTRACT/CPV_MAIN/CPV_SUPPLEMENTARY_CODE,cpv_supplem,,"For each `CODE` attribute, add a `Classification` object to the `tender.additionalClassifications` array, set its `.scheme` to 'CPVS', prefix by the *Main CPV code*, and map to its `.id`. Remove any duplicate entries from the `tender.additionalClassifications` array.",
39,/OBJECT_CONTRACT/TYPE_CONTRACT,type_contract,,Set `tender.mainProcurementCategory` as follows:,II.1.3
40,/OBJECT_CONTRACT/SHORT_DESCR,descr_short,,Map to `tender.description`,II.1.4
41,/COMPLEMENTARY_INFO,info_complement,,,VI
42,/COMPLEMENTARY_INFO/DATE_DISPATCH_NOTICE,date_dispatch,,Map to `date`,VI.5
43,/COMPLEMENTARY_INFO/NOTICE_NUMBER_OJ,number_oj,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/release_relatedNotice,[Reference a previous publication](../../operations/#reference-a-previous-publication),
44,/CHANGES,changes,,"Add an `Amendment` object to the `tender.amendments` array, and set its `.id` (string). The `.id` can be any value guaranteed to be globally unique. For example, it can be set to a [version 4 UUID](https://en.wikipedia.org/wiki/Universally_unique_identifier), or it can be assigned sequentially across all F14/F20 notices for this procedure (the first notice sets it to '1', the second to '2', etc.).",VII
45,/CHANGES/CHANGE,icar_text_corrected,,"For each `CHANGE` element, add an `UnstructuredChange` object to the amendment's `.unstructuredChanges` array, and set its `.where`, `.oldValue` and `.newValue` as follows:",VII.1.2
46,/CHANGES/CHANGE/WHERE,,,,
47,/CHANGES/CHANGE/WHERE/SECTION,section_no,,Map to `.where.section`,
48,/CHANGES/CHANGE/OLD_VALUE,icar_instead,,,
49,/CHANGES/CHANGE/NEW_VALUE,icar_read,,,
50,/CHANGES/CHANGE/WHERE/LOT_NO,lot_number,,Map to `.relatedLot`,
51,/CHANGES/CHANGE/WHERE/LABEL,icar_text_corr_place,,Map to `.where.label`,
52,/CHANGES/CHANGE/OLD_VALUE/NOTHING,,,"Set `.oldValue.text` to """" (an empty string)",
53,/CHANGES/CHANGE/NEW_VALUE/NOTHING,,,"Set `.newValue.text` to """" (an empty string)",
54,/CHANGES/CHANGE/OLD_VALUE/TEXT,,,Map to `.oldValue.text`,
55,/CHANGES/CHANGE/NEW_VALUE/TEXT,,,Map to `.newValue.text`,
56,/CHANGES/CHANGE/OLD_VALUE/CPV_MAIN,,,,
57,/CHANGES/CHANGE/NEW_VALUE/CPV_MAIN,,,,
58,/CHANGES/CHANGE/OLD_VALUE/CPV_MAIN/CPV_CODE,cpv_main,,"Add a `Classification` object to the `.oldValue.classifications` array, set its `.scheme` to 'CPV', take the CPV code in the `CODE` attribute, and map to its `.id`",
59,/CHANGES/CHANGE/NEW_VALUE/CPV_MAIN/CPV_CODE,cpv_main,,"Add a `Classification` object to the `.newValue.classifications` array, set its `.scheme` to 'CPV', take the CPV code in the `CODE` attribute, and map to its `.id`",
60,/CHANGES/CHANGE/OLD_VALUE/CPV_MAIN/CPV_SUPPLEMENTARY_CODE,cpv_supplem,,"For each `CODE` attribute, add a `Classification` object to the `.oldValue.classifications` array, set its `.scheme` to 'CPVS', prefix by the *Main CPV code*, and map to its `.id`. Remove any duplicate entries from the `.oldValue.classifications` array.",
61,/CHANGES/CHANGE/NEW_VALUE/CPV_MAIN/CPV_SUPPLEMENTARY_CODE,cpv_supplem,,"For each `CODE` attribute, add a `Classification` object to the `.newValue.classifications` array, set its `.scheme` to 'CPVS', prefix by the *Main CPV code*, and map to its `.id`. Remove any duplicate entries from the `.newValue.classifications` array.",
62,/CHANGES/CHANGE/OLD_VALUE/CPV_ADDITIONAL,,,,
63,/CHANGES/CHANGE/OLD_VALUE/CPV_ADDITIONAL/CPV_CODE,,,"For each `CODE` attribute, add a `Classification` object to the `.oldValue.classifications` array, set its `.scheme` to 'CPV', and map to its `.id`. Remove any duplicate entries from the `.oldValue.classifications` array.",
64,/CHANGES/CHANGE/OLD_VALUE/CPV_ADDITIONAL/CPV_SUPPLEMENTARY_CODE,,,"For each `CODE` attribute, add a `Classification` object to the `.oldValue.classifications` array, set its `.scheme` to 'CPVS', prefix by the *Main CPV code*, and map to its `.id`. Remove any duplicate entries from the `.oldValue.classifications` array.",
65,/CHANGES/CHANGE/NEW_VALUE/CPV_ADDITIONAL,,,,
66,/CHANGES/CHANGE/NEW_VALUE/CPV_ADDITIONAL/CPV_CODE,,,"For each `CODE` attribute, add a `Classification` object to the `.newValue.classifications` array, set its `.scheme` to 'CPV', and map to its `.id`. Remove any duplicate entries from the `.newValue.classifications` array.",
67,/CHANGES/CHANGE/NEW_VALUE/CPV_ADDITIONAL/CPV_SUPPLEMENTARY_CODE,,,"For each `CODE` attribute, add a `Classification` object to the `.newValue.classifications` array, set its `.scheme` to 'CPVS', prefix by the *Main CPV code*, and map to its `.id`. Remove any duplicate entries from the `.newValue.classifications` array.",
68,/CHANGES/CHANGE/OLD_VALUE/DATE,date,,Map to the date component of `.oldValue.date`    `,
69,/CHANGES/CHANGE/NEW_VALUE/DATE,date,,Map to the date component of `.newValue.date`,
70,/CHANGES/CHANGE/OLD_VALUE/TIME,time,,Map to the time component of `.oldValue.date`,
71,/CHANGES/CHANGE/NEW_VALUE/TIME,time,,Map to the time component of `.newValue.date`,
72,/CHANGES/INFO_ADD,icar_other_info,,Map to the amendment's `.description`,VII.2
