,xpath,label-key,comment,guidance,index
24,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/NAME_ADDRESSES_CONTACT_CONTRACT_AWARD/INTERNET_ADDRESSES_CONTRACT_AWARD/URL_PARTICIPATE,,,,
25,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF,,,,
26,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES,,,,
27,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES/TYPE_OF_CONTRACTING_AUTHORITY,,,,
28,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES/TYPE_OF_CONTRACTING_AUTHORITY_OTHER,,,,
29,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES/TYPE_OF_ACTIVITY,,,,
30,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/TYPE_AND_ACTIVITIES/TYPE_OF_ACTIVITY_OTHER,,,,
31,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/ACTIVITIES_OF_CONTRACTING_ENTITY,,,,
32,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/ACTIVITIES_OF_CONTRACTING_ENTITY/ACTIVITY_OF_CONTRACTING_ENTITY,,,,
33,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/ACTIVITIES_OF_CONTRACTING_ENTITY/ACTIVITY_OF_CONTRACTING_ENTITY_OTHER,,,,
34,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF,,,,
35,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES,,,,
36,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY,,,,
37,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/ORGANISATION,,,,
38,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/ORGANISATION/OFFICIALNAME,,,,
39,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/ORGANISATION/NATIONALID,,,,
40,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/ADDRESS,,,,
41,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/TOWN,,,,
42,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/POSTAL_CODE,,,,
43,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_YES/CONTACT_DATA_OTHER_BEHALF_CONTRACTING_AUTORITHY/COUNTRY,,,,
44,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/CONTRACTING_AUTHORITY_INFORMATION_CONTRACT_AWARD_DEFENCE/TYPE_AND_ACTIVITIES_OR_CONTRACTING_ENTITY_AND_PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF/PURCHASING_ON_BEHALF_NO,,,,
45,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE,,,,
46,/CONTRACT_AWARD_DEFENCE/FD_CONTRACT_AWARD_DEFENCE/OBJECT_CONTRACT_INFORMATION_CONTRACT_AWARD_NOTICE_DEFENCE/DESCRIPTION_AWARD_NOTICE_INFORMATION_DEFENCE,,,,
