eForms code,eForms label,OCDS code,OCDS label
fa-mix,"Framework agreement, partly without reopening and partly with reopening of competition",withAndWithoutReopeningCompetition,With and without reopening of competition
fa-w-rc,"Framework agreement, with reopening of competition",withReopeningCompetition,With reopening of competition
fa-wo-rc,"Framework agreement, without reopening of competition",withoutReopeningCompetition,Without reopening of competition
