eForms code,eForms label,OCDS code,OCDS label
mar-nov,"The procured works, supplies or services are novel or significantly improved compared to other works, supplies or services already on the market",economic.marketInnovationPromotion,The goal is to promote market innovation
proc-innov,"The procured works, supplies or services entail process innovation",economic.processInnovation,"Procured goods, services or works entail process innovation"
prod-innov,"The procured works, supplies or services entail product innovation",economic.productInnovation,"Procured goods, services or works entail product innovation"
rd-act,"The procured works, supplies or services involve research and development activities",economic.researchDevelopmentActivities,"Procured goods, services or works involve research and development activities"
