eForms code,eForms label,OCDS code,OCDS label
eu,EU GPP criteria,euGPPCriteria,EU GPP criteria
national,National GPP criteria,nationalGPPCriteria,National GPP criteria
other,Other GPP criteria,otherGPPCriteria,Other GPP criteria
